external_id,university_code,phase_code,subject_name,topic_name,lesson_name,kind(Default-MCQ),marks,question_text,option_a,option_b,option_c,option_d,correct_option,explanation_text,sample_answer_text,difficulty(Default-medium),required_plan(Default-free),is_active(Default-TRUE),exam_year,paper_name,exam_type(Default-university),textbook_key,page,section_heading
Q-ANAT-003,KUHS,year1,Anatomy,Upper Limb Anatomy,Brachial plexus,mcq,,Klumpke palsy typically results from injury to which spinal roots?,C5 and C6,C6 and C7,C7 and C8,C8 and T1,D,Klumpke palsy is a lower trunk (C8-T1) injury and may include Horner syndrome if T1 sympathetics are involved.,,medium,free,TRUE,,,,,,
Q-ANAT-006,KUHS,year1,Anatomy,Head and Neck Anatomy,Larynx,mcq,,The thoracic duct typically drains into which venous site?,Right venous angle,Left venous angle,Superior vena cava,Azygos vein,B,The thoracic duct drains lymph from most of the body into the left venous angle (junction of left internal jugular and subclavian veins).,,medium,free,TRUE,,,,,,
Q-ANAT-007,KUHS,year1,Anatomy,Neuroanatomy,Visual pathway,mcq,,A lesion of the right optic tract produces which visual field defect?,Right homonymous hemianopia,Left homonymous hemianopia,Bitemporal hemianopia,Binasal hemianopia,B,"Each optic tract carries contralateral visual field information, so a right tract lesion causes left homonymous hemianopia.",,medium,free,TRUE,,,,,,
Q-ANAT-010,KUHS,year1,Anatomy,Embryology,Pharyngeal arches and fetal circulation,mcq,,Which of the following is a neural crest derivative?,Adrenal cortex,Adrenal medulla,Anterior pituitary,Thyroid follicular cells,B,Adrenal medulla chromaffin cells arise from neural crest; adrenal cortex is mesodermal.,,medium,free,TRUE,,,,,,
Q-PHYS-003,KUHS,year1,Physiology,Cardiovascular Physiology,Cardiac cycle and heart sounds,mcq,,Which of the following is the most important determinant of myocardial oxygen demand?,Preload,Heart rate and wall tension,Blood viscosity,Coronary steal,B,"Myocardial O2 demand is driven mainly by heart rate, contractility, and wall tension (afterload/preload via Laplace).",,medium,free,TRUE,,,,,,
Q-PHYS-005,KUHS,year1,Physiology,Respiratory Physiology,Oxygen transport and hypoxia,mcq,,The Bohr effect describes which of the following?,Increased PO2 decreases CO2 binding to hemoglobin,Increased PCO2 or H+ decreases hemoglobin affinity for oxygen,"2,3-BPG increases oxygen affinity",Fetal hemoglobin has lower oxygen affinity than adult hemoglobin,B,"The Bohr effect: raised PCO2 and H+ shift the O2-Hb curve to the right, unloading oxygen in metabolically active tissues.",,medium,free,TRUE,,,,,,
Q-PHYS-008,KUHS,year1,Physiology,Renal Physiology,Countercurrent mechanism and ADH,mcq,,ADH increases water reabsorption in the collecting duct via which receptor and channel?,V1 receptor and ENaC,V2 receptor and aquaporin-2,AT1 receptor and AQP1,Mineralocorticoid receptor and ROMK,B,"V2 receptor activation raises cAMP, inserting aquaporin-2 channels into the apical membrane of principal cells.",,medium,free,TRUE,,,,,,
Q-BIOC-002,KUHS,year1,Biochemistry,Carbohydrate Metabolism,Glycogen storage diseases and PPP,mcq,,Von Gierke disease (GSD I) is caused by deficiency of:,Muscle glycogen phosphorylase,Glucose-6-phosphatase,Debranching enzyme,Lysosomal acid maltase,B,"Glucose-6-phosphatase deficiency prevents hepatic glucose release, causing severe fasting hypoglycemia, lactic acidosis, and hepatomegaly.",,medium,free,TRUE,,,,,,
Q-BIOC-005,KUHS,year1,Biochemistry,Amino Acid Metabolism,"Phenylalanine, tyrosine and branched-chain amino acids",mcq,,The urea cycle takes place primarily in which organ and which cellular compartments?,Kidney; cytosol only,Liver; mitochondria and cytosol,Muscle; mitochondria only,Intestine; peroxisomes,B,"Carbamoyl phosphate synthetase I and ornithine transcarbamylase are mitochondrial; later urea-cycle steps are cytosolic, mainly in hepatocytes.",,medium,free,TRUE,,,,,,
Q-ANAT-PYQ-009,KUHS,year1,Anatomy,Thorax Anatomy,Heart and coronary arteries,pyq_theory,10,Describe the blood supply of the heart. Add a note on dominance and referred pain of angina.,,,,,,,"Heart and coronary arteries is a high-yield KUHS theory topic. Start with a one-line definition or formation, then organised headings the examiner can tick, and finish with a clinical correlation or applied anatomy note.

Right and left coronary arteries arise from the anterior and left posterior aortic sinuses. RCA runs in the right AV groove, gives SA nodal (in ~60%), right marginal, and usually the posterior descending artery in right dominance. LCA divides into LAD (anterior IV groove, diagonals, septal perforators) and circumflex (left AV groove, obtuse marginals). Venous drainage is mainly the coronary sinus (great, middle, small cardiac veins) into the right atrium; anterior cardiac veins drain directly to RA. Most people are right-dominant (PDA from RCA). Left dominance (PDA from LCx) is less common. Ischaemic pain is referred to the left arm, jaw and epigastrium via T1–T4 sympathetics sharing dermatomes with the heart.

In the last two minutes, add a labelled diagram if the paper asks for one, list two or three exam-favourite complications, and write a one-line difference from the closest related structure or disease. That pattern covers both 5-mark short notes and 10-mark structured essays.",medium,free,TRUE,2021,Paper I,university,TB-BDCHAURASIA-VOL1-8,180,Heart and coronary arteries
